County,COUNTY,GR1,GR2,GR3,GR4,GR5,GR6,GR7,GR8,GR9,GR10,GR11,GR12,DOUBLED UP,HOTEL_MOTEL,0HELTERED,UN0HELTERED,Year
ALBANY ,ALBANY ,79,73,60,59,54,45,45,58,73,55,32,33,194,0,526,0,2009
ALLEGANY ,ALLEGANY ,8,7,8,6,0,5,0,7,0,5,6,5,62,0,6,0,2009
BRONX ,BRONX ,2661,2526,2163,1882,1846,1667,1564,1479,1600,1006,572,416,5656,32,15495,1763,2009
BROOME ,BROOME ,37,23,22,17,14,19,17,15,21,26,32,55,237,38,44,6,2009
CATTARAUGUS ,CATTARAUGUS ,6,5,8,0,0,5,0,5,7,6,6,5,56,0,6,5,2009
CAYUGA ,CAYUGA ,10,14,13,11,5,10,11,7,13,13,10,6,119,13,13,0,2009
CHAUTAUQUA ,CHAUTAUQUA ,32,16,22,17,16,11,14,11,20,11,11,16,166,0,53,0,2009
CHEMUNG ,CHEMUNG ,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2009
CHENANGO ,CHENANGO ,6,5,0,6,0,5,0,0,6,6,10,6,38,0,25,0,2009
CLINTON ,CLINTON ,0,0,0,5,0,0,7,8,0,9,0,0,31,0,17,0,2009
COLUMBIA ,COLUMBIA ,12,13,10,7,11,11,7,10,17,18,17,21,91,34,48,0,2009
CORTLAND ,CORTLAND ,12,0,5,5,0,0,5,6,0,0,5,0,40,14,0,0,2009
DELAWARE ,DELAWARE ,5,0,5,0,5,0,0,0,0,5,6,9,59,0,5,0,2009
DUTCHESS ,DUTCHESS ,40,38,40,31,20,30,21,31,29,19,25,23,158,0,176,0,2009
ERIE ,ERIE ,111,115,102,88,76,95,59,60,74,51,60,68,882,0,242,0,2009
ESSEX ,ESSEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
FRANKLIN ,FRANKLIN ,0,0,5,0,7,0,0,0,0,0,0,0,24,0,21,0,2009
FULTON ,FULTON ,11,10,7,7,9,8,8,0,6,0,0,5,71,11,10,0,2009
GENESEE ,GENESEE ,5,7,0,5,0,0,5,0,0,0,0,0,42,5,0,0,2009
GREENE ,GREENE ,20,10,9,5,16,12,11,10,11,13,14,15,111,32,0,0,2009
HAMILTON ,HAMILTON ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
HERKIMER ,HERKIMER ,0,6,10,6,8,11,5,7,5,11,0,7,59,7,28,0,2009
JEFFERSON ,JEFFERSON ,14,15,13,7,10,9,5,6,5,5,6,8,91,18,13,0,2009
KINGS ,KINGS ,2175,2195,1797,1646,1577,1410,1388,1306,1607,1188,643,471,5582,39,13086,1744,2009
LEWIS ,LEWIS ,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,2009
LIVINGSTON ,LIVINGSTON ,7,6,9,0,5,8,7,0,9,0,8,13,71,10,0,0,2009
MADISON ,MADISON ,7,0,10,0,5,7,7,0,0,0,7,13,63,0,12,0,2009
MONROE ,MONROE ,114,117,106,95,103,79,76,94,128,101,84,91,766,52,463,37,2009
MONTGOMERY ,MONTGOMERY ,7,6,13,9,5,0,0,0,6,8,7,9,52,7,30,0,2009
NASSAU ,NASSAU ,98,94,109,111,87,77,89,79,141,115,91,94,865,0,311,0,2009
NEW YORK ,NEW YORK ,1271,1265,1046,946,838,812,770,714,1010,772,464,368,4899,31,6473,862,2009
NIAGARA ,NIAGARA ,31,27,24,29,18,15,17,16,18,16,18,27,229,9,50,0,2009
ONEIDA ,ONEIDA ,21,11,13,15,15,0,5,8,15,11,13,19,123,0,38,0,2009
ONONDAGA ,ONONDAGA ,94,71,77,66,53,70,58,74,119,91,93,87,731,67,241,0,2009
ONTARIO ,ONTARIO ,18,31,23,29,20,10,23,7,29,18,14,27,188,39,32,22,2009
ORANGE ,ORANGE ,104,111,135,111,121,109,96,91,122,114,87,98,1161,172,0,0,2009
ORLEANS ,ORLEANS ,7,5,7,0,8,6,0,7,0,9,5,8,56,0,10,0,2009
OSWEGO ,OSWEGO ,52,50,47,39,30,25,26,43,58,57,56,72,525,8,80,8,2009
OTSEGO ,OTSEGO ,5,7,6,5,0,7,0,0,0,0,5,6,39,15,0,0,2009
PUTNAM ,PUTNAM ,22,14,16,13,16,12,9,6,11,10,8,14,92,7,60,0,2009
QUEENS ,QUEENS ,992,924,753,774,740,616,588,580,799,576,328,231,3746,34,5003,655,2009
RENSSELAER ,RENSSELAER ,46,39,43,30,40,34,34,39,26,45,31,52,333,91,71,13,2009
RICHMOND ,RICHMOND ,179,168,140,120,108,143,127,121,207,124,79,40,504,8,1198,121,2009
ROCKLAND ,ROCKLAND ,35,32,25,26,24,24,28,20,48,21,13,14,279,21,42,0,2009
SARATOGA ,SARATOGA ,44,43,41,50,34,41,40,36,60,52,46,57,431,88,0,0,2009
SCHENECTADY ,SCHENECTADY ,13,8,10,17,9,5,12,11,6,8,0,8,63,27,32,0,2009
SCHOHARIE ,SCHOHARIE ,0,0,0,0,0,7,0,0,10,0,0,0,28,7,13,0,2009
SCHUYLER ,SCHUYLER ,0,5,0,0,0,0,0,0,0,0,0,0,20,0,10,0,2009
SENECA ,SENECA ,0,5,5,0,0,0,6,5,10,5,7,14,50,0,16,0,2009
ST. LAWRENCE ,ST. LAWRENCE ,25,13,16,7,10,10,17,10,13,10,8,28,166,0,19,0,2009
STEUBEN ,STEUBEN ,12,7,7,8,10,8,9,10,7,12,12,13,104,15,0,0,2009
SUFFOLK ,SUFFOLK ,257,246,262,225,228,209,191,186,224,293,256,292,1842,0,1209,0,2009
SULLIVAN ,SULLIVAN ,30,37,44,29,35,31,30,23,22,27,27,27,213,113,87,0,2009
TIOGA ,TIOGA ,6,5,7,8,0,5,0,5,9,0,0,5,39,11,18,0,2009
TOMPKINS ,TOMPKINS ,8,15,13,8,0,7,10,7,10,9,8,7,59,0,54,0,2009
ULSTER ,ULSTER ,54,42,34,34,37,21,35,30,60,30,38,37,195,0,184,0,2009
WARREN ,WARREN ,5,5,0,8,7,0,0,5,0,5,0,0,33,22,8,0,2009
WASHINGTON ,WASHINGTON ,9,6,10,9,0,10,8,7,14,8,5,8,91,12,9,0,2009
WAYNE ,WAYNE ,7,12,11,7,7,7,7,7,9,21,22,20,115,0,29,0,2009
WESTCHESTER ,WESTCHESTER ,157,170,139,148,137,137,118,119,192,109,93,95,1157,0,674,0,2009
WYOMING ,WYOMING ,8,8,0,0,0,0,5,0,0,0,5,5,48,0,6,0,2009
YATES ,YATES ,6,5,5,0,0,0,0,0,0,0,0,7,35,0,0,0,2009
ALBANY ,ALBANY ,96,65,91,74,74,62,61,85,87,59,60,35,400,50,482,0,2011
ALLEGANY ,ALLEGANY ,9,8,6,0,0,9,0,6,0,5,6,10,63,6,11,0,2011
BRONX ,BRONX ,2605,2304,2162,1995,1815,1771,1624,1528,1717,1225,722,578,11400,38,10250,2814,2011
BROOME ,BROOME ,97,103,94,93,117,71,82,98,70,60,78,94,932,46,212,5,2011
CATTARAUGUS ,CATTARAUGUS ,9,6,9,6,7,5,8,6,5,7,7,17,72,8,25,0,2011
CAYUGA ,CAYUGA ,19,13,21,13,17,18,13,15,12,6,11,15,134,45,21,0,2011
CHAUTAUQUA ,CHAUTAUQUA ,30,33,19,25,26,13,18,14,19,27,23,26,228,0,59,0,2011
CHEMUNG ,CHEMUNG ,13,16,11,6,9,6,0,0,0,0,0,0,71,9,0,0,2011
CHENANGO ,CHENANGO ,6,7,11,6,8,7,7,5,9,0,6,6,78,5,10,0,2011
CLINTON ,CLINTON ,15,8,7,5,0,5,7,12,0,7,9,14,60,31,25,0,2011
COLUMBIA ,COLUMBIA ,17,23,24,13,11,16,13,11,20,17,14,24,144,39,46,9,2011
CORTLAND ,CORTLAND ,5,6,0,6,0,6,0,0,0,0,0,0,34,15,0,0,2011
DELAWARE ,DELAWARE ,15,16,12,13,16,20,10,14,11,17,19,10,159,0,32,0,2011
DUTCHESS ,DUTCHESS ,39,51,37,40,44,26,29,28,37,46,41,31,239,0,222,0,2011
ERIE ,ERIE ,153,131,108,117,111,83,95,108,96,99,102,101,1255,0,277,0,2011
ESSEX ,ESSEX ,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,2011
FRANKLIN ,FRANKLIN ,18,12,10,7,0,9,7,8,6,0,6,10,81,0,22,0,2011
FULTON ,FULTON ,12,20,14,22,10,13,15,12,17,9,8,11,156,15,13,0,2011
GENESEE ,GENESEE ,5,5,5,5,5,9,0,0,5,5,0,6,38,20,12,0,2011
GREENE ,GREENE ,18,11,15,18,12,7,19,14,10,5,12,14,107,43,0,0,2011
HAMILTON ,HAMILTON ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011
HERKIMER ,HERKIMER ,0,0,0,0,5,0,6,5,6,0,0,0,36,0,10,0,2011
JEFFERSON ,JEFFERSON ,29,18,20,20,18,13,20,8,20,13,9,10,169,0,31,0,2011
KINGS ,KINGS ,1968,1775,1726,1562,1458,1434,1365,1233,1577,1454,949,809,10080,59,8555,2520,2011
LEWIS ,LEWIS ,0,0,6,5,0,5,0,0,0,0,0,7,43,0,13,0,2011
LIVINGSTON ,LIVINGSTON ,15,14,10,13,6,10,0,7,6,7,0,12,97,19,6,0,2011
MADISON ,MADISON ,6,8,7,5,7,5,11,0,7,5,7,19,85,0,16,0,2011
MONROE ,MONROE ,214,203,180,173,180,164,168,144,192,180,123,127,1783,73,555,11,2011
MONTGOMERY ,MONTGOMERY ,29,15,20,21,15,12,9,0,13,13,10,11,187,7,19,0,2011
NASSAU ,NASSAU ,95,86,97,91,121,117,89,106,130,110,118,133,954,119,372,5,2011
NEW YORK ,NEW YORK ,1119,1022,985,919,889,825,772,808,1235,914,549,432,7257,41,4356,1439,2011
NIAGARA ,NIAGARA ,18,11,8,11,14,11,17,13,21,13,13,18,145,12,30,0,2011
ONEIDA ,ONEIDA ,20,17,13,13,18,9,19,8,6,9,11,15,119,15,48,0,2011
ONONDAGA ,ONONDAGA ,83,92,77,111,70,73,84,103,119,95,89,154,1019,78,193,7,2011
ONTARIO ,ONTARIO ,25,25,33,31,30,31,27,25,24,16,25,26,259,31,43,23,2011
ORANGE ,ORANGE ,109,96,109,109,96,98,82,97,114,69,91,88,850,0,242,0,2011
ORLEANS ,ORLEANS ,0,5,5,0,0,5,0,0,6,5,6,11,46,0,18,0,2011
OSWEGO ,OSWEGO ,59,50,46,57,57,39,40,37,52,61,74,87,640,30,55,13,2011
OTSEGO ,OTSEGO ,7,6,5,0,0,8,7,6,0,6,5,12,46,0,21,0,2011
PUTNAM ,PUTNAM ,19,17,19,15,14,13,15,10,12,5,10,6,124,8,47,0,2011
QUEENS ,QUEENS ,946,841,788,782,680,731,621,580,852,624,464,425,6591,42,2685,1189,2011
RENSSELAER ,RENSSELAER ,43,35,40,51,39,34,32,36,35,28,24,39,378,0,74,0,2011
RICHMOND ,RICHMOND ,176,144,126,126,107,134,111,128,203,156,100,74,1111,5,538,315,2011
ROCKLAND ,ROCKLAND ,51,35,41,33,43,36,45,33,81,44,28,18,476,10,50,0,2011
SARATOGA ,SARATOGA ,45,51,39,28,24,24,24,28,41,26,22,37,292,126,0,0,2011
SCHENECTADY ,SCHENECTADY ,32,23,27,16,24,26,12,18,26,15,9,12,132,67,68,6,2011
SCHOHARIE ,SCHOHARIE ,6,16,21,14,26,14,10,17,21,17,13,12,108,18,78,0,2011
SCHUYLER ,SCHUYLER ,5,5,0,0,0,0,0,0,0,0,0,0,21,8,0,0,2011
SENECA ,SENECA ,8,5,5,10,10,9,9,6,15,10,14,10,85,25,0,0,2011
ST. LAWRENCE ,ST. LAWRENCE ,50,32,44,46,32,31,30,25,21,26,38,49,457,0,57,0,2011
STEUBEN ,STEUBEN ,18,16,14,14,9,9,12,13,7,12,7,10,134,22,0,0,2011
SUFFOLK ,SUFFOLK ,307,312,294,266,298,276,271,249,296,290,274,379,2328,347,1301,5,2011
SULLIVAN ,SULLIVAN ,64,51,40,40,45,25,50,33,43,34,31,41,409,141,70,0,2011
TIOGA ,TIOGA ,24,37,39,18,33,29,34,30,36,30,33,19,294,18,102,0,2011
TOMPKINS ,TOMPKINS ,8,11,9,7,10,5,10,9,12,9,8,20,101,0,29,0,2011
ULSTER ,ULSTER ,42,35,35,34,36,37,35,32,51,55,42,51,263,106,169,5,2011
WARREN ,WARREN ,22,16,8,13,13,7,9,6,10,12,12,22,93,49,29,8,2011
WASHINGTON ,WASHINGTON ,19,12,14,0,11,17,8,10,14,15,16,27,157,24,0,0,2011
WAYNE ,WAYNE ,16,21,21,11,21,18,21,10,19,16,17,30,197,0,40,0,2011
WESTCHESTER ,WESTCHESTER ,198,185,206,184,164,164,152,166,165,153,119,118,1463,0,818,0,2011
WYOMING ,WYOMING ,10,0,9,6,0,0,0,0,0,0,5,11,59,0,13,0,2011
YATES ,YATES ,5,10,8,0,8,5,6,0,0,0,0,0,48,10,8,0,2011
ALBANY ,ALBANY ,68,81,58,71,49,58,49,58,62,54,41,25,428,0,303,0,2012
ALLEGANY ,ALLEGANY ,7,14,12,10,0,6,7,6,6,0,0,8,96,0,9,0,2012
BRONX ,BRONX ,3146,2795,2402,2222,2107,2073,1796,1766,1749,1214,793,643,14168,39,11333,2459,2012
BROOME ,BROOME ,52,52,49,48,38,44,39,52,50,41,44,66,450,30,163,7,2012
CATTARAUGUS ,CATTARAUGUS ,9,9,12,13,14,10,11,12,11,12,14,16,125,7,31,0,2012
CAYUGA ,CAYUGA ,17,20,11,11,11,10,6,10,9,10,0,11,103,25,21,0,2012
CHAUTAUQUA ,CHAUTAUQUA ,30,25,22,20,32,24,21,25,20,21,28,31,264,0,56,0,2012
CHEMUNG ,CHEMUNG ,5,8,9,8,5,8,10,6,0,0,0,0,73,0,0,0,2012
CHENANGO ,CHENANGO ,8,10,6,11,10,10,12,8,14,6,8,14,119,0,13,0,2012
CLINTON ,CLINTON ,11,14,10,9,0,8,8,8,10,8,8,8,58,0,30,0,2012
COLUMBIA ,COLUMBIA ,14,16,13,14,12,18,5,11,21,10,15,18,129,9,33,32,2012
CORTLAND ,CORTLAND ,6,6,6,0,12,5,5,6,8,0,5,0,51,22,8,0,2012
DELAWARE ,DELAWARE ,0,0,0,0,5,0,9,0,5,8,0,0,43,0,12,0,2012
DUTCHESS ,DUTCHESS ,38,44,52,47,46,45,37,36,46,43,41,47,277,0,277,0,2012
ERIE ,ERIE ,143,123,115,105,117,104,99,99,107,89,82,106,1347,53,155,9,2012
ESSEX ,ESSEX ,0,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,2012
FRANKLIN ,FRANKLIN ,13,20,10,9,0,8,11,6,10,0,7,16,102,0,19,0,2012
FULTON ,FULTON ,13,16,6,0,8,5,11,8,6,9,5,7,100,0,7,0,2012
GENESEE ,GENESEE ,0,7,0,6,6,6,5,7,0,6,0,5,47,18,5,0,2012
GREENE ,GREENE ,8,17,9,9,9,8,9,9,11,10,8,17,102,18,21,0,2012
HAMILTON ,HAMILTON ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
HERKIMER ,HERKIMER ,0,0,0,0,0,0,0,5,7,5,0,6,38,0,11,0,2012
JEFFERSON ,JEFFERSON ,19,26,16,15,20,21,10,18,17,11,15,17,198,15,19,0,2012
KINGS ,KINGS ,2256,1947,1835,1599,1543,1545,1372,1346,1657,1516,912,993,11728,77,8716,2317,2012
LEWIS ,LEWIS ,0,6,5,0,6,0,0,0,0,0,5,6,51,0,5,0,2012
LIVINGSTON ,LIVINGSTON ,12,12,12,5,5,10,8,0,8,8,8,0,90,14,0,0,2012
MADISON ,MADISON ,9,7,5,0,7,0,0,0,0,7,6,7,55,0,18,0,2012
MONROE ,MONROE ,236,217,176,207,171,171,163,178,196,135,121,137,1953,87,515,18,2012
MONTGOMERY ,MONTGOMERY ,20,21,12,11,23,8,14,12,6,5,5,5,151,11,10,0,2012
NASSAU ,NASSAU ,236,229,234,254,243,230,273,250,283,213,206,235,2438,154,590,13,2012
NEW YORK ,NEW YORK ,1387,1141,1017,965,915,894,804,754,1401,968,597,536,8326,56,4755,1257,2012
NIAGARA ,NIAGARA ,16,18,9,9,16,15,13,18,12,24,15,21,157,0,34,0,2012
ONEIDA ,ONEIDA ,13,19,23,11,11,10,9,10,14,8,14,12,126,26,39,0,2012
ONONDAGA ,ONONDAGA ,147,108,103,86,113,100,80,83,139,86,75,133,1062,0,255,0,2012
ONTARIO ,ONTARIO ,25,23,28,30,32,28,29,25,20,21,23,19,250,42,41,17,2012
ORANGE ,ORANGE ,95,137,106,117,101,108,112,96,109,107,71,98,980,164,256,7,2012
ORLEANS ,ORLEANS ,10,10,10,7,0,7,11,0,7,5,0,17,83,0,15,0,2012
OSWEGO ,OSWEGO ,57,45,38,32,38,41,31,33,56,53,67,95,591,0,45,0,2012
OTSEGO ,OTSEGO ,7,5,13,0,5,0,7,5,0,0,7,6,49,8,22,0,2012
PUTNAM ,PUTNAM ,17,18,18,16,15,16,6,10,10,9,0,11,135,8,34,0,2012
QUEENS ,QUEENS ,1266,1089,993,949,937,851,806,722,1013,755,501,463,8593,114,2853,1260,2012
RENSSELAER ,RENSSELAER ,45,38,29,25,28,18,30,25,26,18,26,29,285,26,85,0,2012
RICHMOND ,RICHMOND ,229,216,195,153,160,165,153,125,270,167,111,101,1717,28,500,278,2012
ROCKLAND ,ROCKLAND ,53,78,52,58,48,48,61,54,84,62,52,44,604,31,115,0,2012
SARATOGA ,SARATOGA ,47,40,43,41,33,41,30,29,53,48,44,58,446,78,0,0,2012
SCHENECTADY ,SCHENECTADY ,35,22,23,20,20,20,22,16,17,14,8,13,124,91,0,0,2012
SCHOHARIE ,SCHOHARIE ,6,7,12,13,11,11,7,7,10,8,8,8,53,0,51,0,2012
SCHUYLER ,SCHUYLER ,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2012
SENECA ,SENECA ,8,10,5,8,11,10,7,8,9,17,10,21,87,18,31,0,2012
ST. LAWRENCE ,ST. LAWRENCE ,60,62,34,62,46,43,51,42,39,25,55,75,604,0,82,0,2012
STEUBEN ,STEUBEN ,16,25,12,15,20,13,14,6,14,8,12,19,149,37,0,0,2012
SUFFOLK ,SUFFOLK ,416,434,380,363,347,338,309,321,351,328,330,407,3201,313,1425,6,2012
SULLIVAN ,SULLIVAN ,52,40,25,26,20,34,23,38,26,19,24,28,259,112,0,0,2012
TIOGA ,TIOGA ,5,7,5,7,7,7,0,0,9,0,0,6,39,0,32,0,2012
TOMPKINS ,TOMPKINS ,13,9,11,5,7,8,9,12,8,8,11,7,102,5,21,0,2012
ULSTER ,ULSTER ,38,40,45,32,40,23,32,35,61,60,36,56,305,0,170,0,2012
WARREN ,WARREN ,16,11,8,10,8,0,10,11,12,6,11,16,78,22,29,7,2012
WASHINGTON ,WASHINGTON ,18,24,22,11,13,11,14,9,12,12,17,19,173,29,0,0,2012
WAYNE ,WAYNE ,34,18,19,17,18,18,13,18,16,14,19,25,216,15,32,6,2012
WESTCHESTER ,WESTCHESTER ,222,225,199,209,196,179,190,172,241,175,156,148,1720,0,928,0,2012
WYOMING ,WYOMING ,14,8,0,9,8,10,0,6,5,0,6,7,78,0,9,0,2012
YATES ,YATES ,8,8,10,11,8,9,0,6,0,6,6,0,78,0,5,0,2012
ALBANY,ALBANY,75,66,60,49,43,49,56,48,64,45,29,25,429,56,227,0,2013
ALLEGANY,ALLEGANY,9,10,7,6,7,0,6,6,5,0,7,8,84,0,6,0,2013
BRONX,BRONX,3697,3131,2949,2486,2254,2344,2118,1990,2159,1384,882,790,16941,54,12790,2052,2013
BROOME,BROOME,44,47,48,52,36,45,51,39,47,48,40,63,447,45,144,6,2013
CATTARAUGUS,CATTARAUGUS,20,8,9,10,12,14,9,8,5,16,13,19,139,6,24,0,2013
CAYUGA,CAYUGA,11,10,13,7,10,7,13,7,5,9,0,7,75,24,23,0,2013
CHAUTAUQUA,CHAUTAUQUA,25,27,22,22,23,22,22,12,19,32,14,19,243,0,62,0,2013
CHEMUNG,CHEMUNG,5,9,7,7,8,6,0,6,0,0,0,0,61,0,0,0,2013
CHENANGO,CHENANGO,11,8,11,11,13,11,9,16,10,12,10,9,128,0,17,0,2013
CLINTON,CLINTON,14,6,12,11,9,0,18,14,7,14,9,5,68,45,0,0,2013
COLUMBIA,COLUMBIA,16,18,14,13,13,13,12,14,16,12,12,12,119,23,12,38,2013
CORTLAND,CORTLAND,6,0,9,9,7,8,9,0,0,0,7,12,63,12,21,0,2013
DELAWARE,DELAWARE,0,0,0,0,0,0,0,0,0,0,9,0,23,0,7,0,2013
DUTCHESS,DUTCHESS,49,50,53,61,46,46,44,37,49,41,31,33,287,0,255,0,2013
ERIE,ERIE,188,158,155,142,143,134,147,110,129,121,108,153,1631,0,381,0,2013
ESSEX,ESSEX,5,5,0,0,0,0,0,0,0,0,0,0,19,0,5,0,2013
FRANKLIN,FRANKLIN,6,7,9,13,9,5,9,9,9,6,0,12,96,0,13,0,2013
FULTON,FULTON,9,10,9,15,7,9,11,0,10,5,0,7,105,0,7,0,2013
GENESEE,GENESEE,0,0,8,0,10,8,7,9,6,8,5,5,64,19,0,0,2013
GREENE,GREENE,12,8,15,13,7,9,5,7,12,0,11,7,91,22,0,0,2013
HAMILTON,HAMILTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
HERKIMER,HERKIMER,6,0,0,5,0,0,5,0,0,9,5,0,36,7,10,0,2013
JEFFERSON,JEFFERSON,21,17,18,12,14,18,16,11,18,6,11,21,181,0,17,0,2013
KINGS,KINGS,2723,2187,1981,1770,1581,1601,1377,1280,1844,1579,943,993,13224,67,8902,1857,2013
LEWIS,LEWIS,6,9,5,0,7,7,6,0,0,0,0,10,71,0,0,0,2013
LIVINGSTON,LIVINGSTON,11,14,11,10,5,0,11,9,5,0,7,6,92,6,16,0,2013
MADISON,MADISON,5,8,8,6,0,8,6,8,5,5,9,11,83,7,13,0,2013
MONROE,MONROE,315,247,223,198,227,194,151,171,209,143,125,142,2203,104,492,38,2013
MONTGOMERY,MONTGOMERY,23,11,16,11,10,9,9,13,9,9,5,0,141,15,0,0,2013
NASSAU,NASSAU,207,185,175,170,153,179,169,158,262,166,125,142,2107,130,383,10,2013
NEW YORK,NEW YORK,1526,1318,1085,991,929,934,878,859,1466,1122,731,632,9332,42,5049,1119,2013
NIAGARA,NIAGARA,18,13,18,17,10,21,17,21,24,18,22,20,181,0,40,0,2013
ONEIDA,ONEIDA,27,13,14,21,18,12,6,8,10,9,10,9,156,5,34,0,2013
ONONDAGA,ONONDAGA,179,187,157,142,127,150,128,117,209,119,100,151,1474,121,380,6,2013
ONTARIO,ONTARIO,23,22,28,25,17,26,22,24,15,14,18,19,226,31,36,5,2013
ORANGE,ORANGE,123,129,126,113,115,124,130,133,121,119,91,100,1108,167,313,8,2013
ORLEANS,ORLEANS,8,6,6,5,7,7,5,0,5,0,0,0,57,9,0,0,2013
OSWEGO,OSWEGO,62,59,40,38,38,52,54,43,54,59,67,100,667,0,49,0,2013
OTSEGO,OTSEGO,11,8,6,7,0,5,7,5,0,0,9,8,71,9,9,0,2013
PUTNAM,PUTNAM,14,14,17,16,16,14,18,9,8,7,10,5,103,9,43,0,2013
QUEENS,QUEENS,1409,1182,1054,997,961,931,760,752,1145,825,562,497,9559,77,2823,895,2013
RENSSELAER,RENSSELAER,47,41,33,43,21,32,35,38,36,28,26,30,347,38,93,0,2013
RICHMOND,RICHMOND,245,220,197,161,143,161,149,122,249,161,117,97,1705,23,523,176,2013
ROCKLAND,ROCKLAND,36,59,62,49,53,44,42,45,98,67,45,49,574,0,87,0,2013
SARATOGA,SARATOGA,36,40,35,27,38,37,38,24,40,44,35,61,392,71,0,0,2013
SCHENECTADY,SCHENECTADY,25,20,17,16,13,18,14,14,15,13,13,7,132,43,0,0,2013
SCHOHARIE,SCHOHARIE,6,0,5,10,10,8,10,5,5,8,8,5,51,16,21,0,2013
SCHUYLER,SCHUYLER,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,0,2013
SENECA,SENECA,9,9,8,5,5,6,11,10,8,8,16,25,88,24,17,0,2013
ST. LAWRENCE,ST. LAWRENCE,51,47,37,28,45,34,32,28,35,21,29,56,498,0,33,0,2013
STEUBEN,STEUBEN,27,18,16,15,17,16,11,14,10,14,5,16,168,16,0,0,2013
SUFFOLK,SUFFOLK,431,374,382,336,364,347,341,292,414,320,269,393,2957,0,1598,0,2013
SULLIVAN,SULLIVAN,34,43,34,14,24,22,30,18,36,23,15,21,255,68,0,0,2013
TIOGA,TIOGA,0,7,0,0,7,0,5,0,0,0,0,7,48,0,10,0,2013
TOMPKINS,TOMPKINS,16,10,16,10,9,8,8,0,13,14,8,18,108,0,36,0,2013
ULSTER,ULSTER,55,34,33,33,25,46,25,43,50,58,37,44,270,0,162,0,2013
WARREN,WARREN,14,14,17,9,7,15,9,13,11,15,17,19,136,0,27,0,2013
WASHINGTON,WASHINGTON,13,9,11,11,7,6,0,5,15,12,7,17,116,15,10,0,2013
WAYNE,WAYNE,24,41,18,17,22,17,19,19,21,12,17,32,256,20,22,0,2013
WESTCHESTER,WESTCHESTER,195,216,231,210,203,186,180,184,203,191,154,182,1724,0,877,0,2013
WYOMING,WYOMING,5,13,7,0,6,6,9,0,0,0,0,5,56,0,9,0,2013
